epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.869,0.61993,3.99033,1.15852,0.0098,0.87613,0.02571,0.02327,0.43963,3.42213,0.99935,2.8645e-05,2.8645e-05,2.8645e-05
2,1055.45,0.57013,2.86116,1.08433,0.07852,0.11162,0.04544,0.04034,0.4297,3.79751,0.97856,5.61769e-05,5.61769e-05,5.61769e-05
3,1575.06,0.55607,2.30073,1.0662,0.05593,0.13728,0.07169,0.06512,0.42134,4.15526,0.96358,8.25736e-05,8.25736e-05,8.25736e-05
4,2139.98,0.54199,1.89146,1.05028,0.05513,0.09847,0.06965,0.0634,0.39746,4.65705,0.95513,8.08916e-05,8.08916e-05,8.08916e-05
5,3434.58,0.52317,1.60438,1.0355,0.0423,0.1098,0.07961,0.07221,0.40018,4.87983,0.94756,7.91888e-05,7.91888e-05,7.91888e-05
6,3953.26,0.51399,1.39782,1.02797,0.04597,0.09911,0.07608,0.0691,0.4137,5.2562,0.97055,7.7486e-05,7.7486e-05,7.7486e-05
7,4471.49,0.50734,1.26767,1.02231,0.0384,0.08906,0.07916,0.07251,0.39807,5.47858,0.95414,7.57832e-05,7.57832e-05,7.57832e-05
8,4990.27,0.49712,1.14798,1.0188,0.04587,0.09092,0.07725,0.07028,0.39091,5.77989,0.94349,7.40804e-05,7.40804e-05,7.40804e-05
9,5530.48,0.49454,1.0625,1.01653,0.04384,0.07613,0.06928,0.06341,0.39485,6.13421,0.95193,7.23776e-05,7.23776e-05,7.23776e-05
10,6574.4,0.48693,0.98958,1.01021,0.04343,0.07511,0.0698,0.06428,0.38459,6.18682,0.93933,7.06748e-05,7.06748e-05,7.06748e-05
11,7133.94,0.47898,0.91802,1.00556,0.04557,0.07989,0.07314,0.06716,0.40881,6.26994,0.96584,6.8972e-05,6.8972e-05,6.8972e-05
12,8545.89,0.47627,0.87729,1.00391,0.04523,0.06633,0.06717,0.06226,0.38662,6.51954,0.94467,6.72692e-05,6.72692e-05,6.72692e-05
13,9080.36,0.47039,0.82775,1.00082,0.04641,0.07119,0.07251,0.06648,0.38838,6.49691,0.94681,6.55664e-05,6.55664e-05,6.55664e-05
14,9599.08,0.46743,0.79005,0.99989,0.04409,0.06358,0.07096,0.06583,0.39155,6.73269,0.94584,6.38636e-05,6.38636e-05,6.38636e-05
15,10117.1,0.46454,0.77086,0.99681,0.04517,0.06326,0.06791,0.06316,0.38464,6.67374,0.93949,6.21608e-05,6.21608e-05,6.21608e-05
16,10643.9,0.46429,0.74601,0.99582,0.04495,0.05852,0.07056,0.06545,0.39024,6.68964,0.95091,6.0458e-05,6.0458e-05,6.0458e-05
17,11279.1,0.45693,0.71621,0.99328,0.04722,0.05923,0.06925,0.06373,0.39213,6.98294,0.95382,5.87552e-05,5.87552e-05,5.87552e-05
18,13515.9,0.4516,0.68917,0.99239,0.04208,0.06059,0.06511,0.06086,0.38636,6.96993,0.95392,5.70524e-05,5.70524e-05,5.70524e-05
19,14036.5,0.44903,0.66453,0.98816,0.04654,0.05591,0.06815,0.06372,0.38395,7.01972,0.94779,5.53496e-05,5.53496e-05,5.53496e-05
20,14555,0.44696,0.64553,0.98558,0.04767,0.06385,0.06861,0.06388,0.36745,7.08991,0.93172,5.36468e-05,5.36468e-05,5.36468e-05
21,15105.8,0.44329,0.62753,0.98506,0.0508,0.05152,0.06299,0.05867,0.37264,7.13211,0.93721,5.1944e-05,5.1944e-05,5.1944e-05
22,15936.7,0.44097,0.60813,0.98375,0.05675,0.05672,0.06825,0.06366,0.37986,7.24921,0.94137,5.02412e-05,5.02412e-05,5.02412e-05
23,16454.6,0.43668,0.58912,0.98266,0.05493,0.05409,0.06306,0.05928,0.37009,7.33718,0.93713,4.85384e-05,4.85384e-05,4.85384e-05
24,16972.7,0.43155,0.57698,0.97822,0.05511,0.05335,0.05781,0.05399,0.39166,7.43043,0.96235,4.68356e-05,4.68356e-05,4.68356e-05
