epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.321,0.62514,2.88259,1.11735,0.17455,0.74807,0.23649,0.20573,0.4899,3.27324,1.01301,0.0033315,0.0033315,0.0033315
2,460.837,0.57967,2.07053,1.07551,0.38239,0.65348,0.4434,0.3747,0.64346,2.04282,1.1957,0.00659886,0.00659886,0.00659886
3,679.83,0.61638,1.76644,1.08164,0.41358,0.6128,0.47156,0.4133,0.53701,1.45424,1.09112,0.00980021,0.00980021,0.00980021
4,897.992,0.62537,1.59966,1.0848,0.44246,0.71974,0.55599,0.50974,0.47691,1.14256,1.02015,0.009703,0.009703,0.009703
5,1116.59,0.57718,1.46449,1.06453,0.4286,0.75597,0.57995,0.52976,0.48321,1.22892,1.01638,0.009604,0.009604,0.009604
6,1340.07,0.55064,1.38456,1.05061,0.47267,0.78515,0.60724,0.56586,0.43585,0.95292,0.98636,0.009505,0.009505,0.009505
7,1564.69,0.52598,1.30874,1.03519,0.54462,0.74476,0.63236,0.57934,0.45968,0.94176,0.98697,0.009406,0.009406,0.009406
8,1788.59,0.50548,1.25932,1.027,0.63115,0.75823,0.68953,0.64623,0.4189,0.89654,0.95688,0.009307,0.009307,0.009307
9,2013.35,0.48989,1.21216,1.01756,0.60999,0.76393,0.74677,0.69152,0.43547,0.73496,0.96103,0.009208,0.009208,0.009208
10,2237.76,0.48802,1.17097,1.01506,0.63846,0.81135,0.76572,0.71876,0.39432,0.68866,0.92407,0.009109,0.009109,0.009109
11,2462.98,0.47769,1.13361,1.01333,0.75406,0.78641,0.78387,0.73216,0.39838,0.63473,0.92787,0.00901,0.00901,0.00901
12,2686.17,0.46914,1.10787,1.00782,0.69972,0.84123,0.81267,0.75628,0.40754,0.58792,0.93933,0.008911,0.008911,0.008911
13,2910.99,0.45593,1.07086,1.00666,0.72781,0.83072,0.80927,0.76124,0.36615,0.59579,0.90758,0.008812,0.008812,0.008812
14,3135.22,0.45455,1.05559,1.00225,0.71632,0.82101,0.80934,0.75753,0.38455,0.57201,0.92387,0.008713,0.008713,0.008713
