epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,419.115,0.72006,2.2313,1.25882,0.46087,0.6067,0.51124,0.44892,0.54008,1.30238,1.07091,0.0033315,0.0033315,0.0033315
2,787.455,0.58335,1.39575,1.14453,0.70013,0.62312,0.72442,0.62584,0.61521,1.21541,1.14413,0.00659886,0.00659886,0.00659886
3,1152.65,0.62995,1.37322,1.16108,0.71363,0.70466,0.74332,0.63305,0.59267,1.09567,1.12615,0.00980021,0.00980021,0.00980021
4,1518.48,0.64699,1.3691,1.1669,0.78603,0.66271,0.76167,0.6821,0.5075,1.01444,1.05935,0.009703,0.009703,0.009703
5,1886.96,0.60291,1.26089,1.14471,0.72901,0.78504,0.81925,0.73621,0.491,0.728,1.03521,0.009604,0.009604,0.009604
6,2256.5,0.5785,1.17277,1.12777,0.74397,0.82101,0.85017,0.74379,0.52868,0.6895,1.07795,0.009505,0.009505,0.009505
7,2625.14,0.54848,1.09724,1.11036,0.86054,0.80916,0.87424,0.79125,0.46364,0.67153,1.00772,0.009406,0.009406,0.009406
8,2993.95,0.53185,1.05035,1.10007,0.84031,0.8627,0.88958,0.81502,0.42191,0.56172,0.97081,0.009307,0.009307,0.009307
9,3362.32,0.51593,1.00518,1.09037,0.81713,0.87572,0.90277,0.82837,0.4168,0.5081,0.94787,0.009208,0.009208,0.009208
10,3730.52,0.50951,0.95807,1.0858,0.83889,0.87567,0.91591,0.83385,0.42608,0.51701,0.96918,0.009109,0.009109,0.009109
11,4098.7,0.49548,0.93386,1.07725,0.82671,0.90897,0.92002,0.84975,0.39247,0.47922,0.92966,0.00901,0.00901,0.00901
12,4466.87,0.4888,0.90572,1.07442,0.87331,0.90862,0.93563,0.85072,0.42646,0.44578,0.96259,0.008911,0.008911,0.008911
13,4834.5,0.47909,0.87815,1.06981,0.89991,0.90706,0.94118,0.87188,0.38197,0.44752,0.91665,0.008812,0.008812,0.008812
14,5204.01,0.47239,0.85577,1.06457,0.91637,0.90901,0.95357,0.879,0.38475,0.37195,0.93057,0.008713,0.008713,0.008713
15,5572.94,0.4697,0.83425,1.06334,0.91835,0.91887,0.95125,0.87302,0.39083,0.3732,0.93048,0.008614,0.008614,0.008614
16,5941.44,0.46463,0.82074,1.06259,0.93959,0.93448,0.97,0.89392,0.37611,0.41209,0.92192,0.008515,0.008515,0.008515
17,6309.29,0.45628,0.80364,1.05732,0.94363,0.91709,0.96646,0.88989,0.37409,0.35032,0.91103,0.008416,0.008416,0.008416
18,6677.53,0.45229,0.78962,1.05308,0.93788,0.93334,0.96975,0.89423,0.38025,0.35314,0.91917,0.008317,0.008317,0.008317
19,7045.11,0.4441,0.76037,1.04743,0.94298,0.93594,0.97388,0.8946,0.39156,0.33896,0.92984,0.008218,0.008218,0.008218
20,7413.78,0.44004,0.75902,1.05063,0.9588,0.93633,0.97916,0.90254,0.38173,0.33713,0.9145,0.008119,0.008119,0.008119
21,7782.27,0.43626,0.74133,1.04311,0.96507,0.94312,0.98119,0.90184,0.37484,0.31863,0.91229,0.00802,0.00802,0.00802
22,8149.74,0.43831,0.72658,1.04829,0.96304,0.94814,0.98434,0.9104,0.34451,0.27568,0.89368,0.007921,0.007921,0.007921
23,8517.82,0.43304,0.71685,1.04191,0.97531,0.94767,0.98397,0.90854,0.36259,0.30528,0.89785,0.007822,0.007822,0.007822
24,8886.1,0.43067,0.70533,1.04204,0.97835,0.95149,0.98649,0.91505,0.35022,0.27254,0.89172,0.007723,0.007723,0.007723
25,9254.45,0.42792,0.69457,1.04138,0.97216,0.95746,0.9874,0.91585,0.33724,0.27592,0.87996,0.007624,0.007624,0.007624
