epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.467,0.40402,0.85615,1.02095,0.68951,0.94881,0.82742,0.78169,0.3811,5.5585,0.97119,0.000664269,0.000664269,0.000664269
2,186.459,0.5007,0.75367,1.0668,0.67758,0.95222,0.8156,0.73984,0.41787,9.3189,0.99195,0.00130458,0.00130458,0.00130458
3,246.776,0.55394,0.78018,1.09506,0.74808,0.88176,0.83446,0.74897,0.50647,7.37726,1.08695,0.0019185,0.0019185,0.0019185
4,304.779,0.55006,0.78388,1.09384,0.69984,0.94694,0.7907,0.72252,0.44383,4.72338,1.01341,0.0018812,0.0018812,0.0018812
5,363.92,0.55308,0.79912,1.09312,0.73471,0.79863,0.79297,0.72595,0.48362,10.5034,1.06845,0.0018416,0.0018416,0.0018416
6,423.764,0.53946,0.77378,1.08509,0.72501,0.91126,0.83025,0.7729,0.41663,9.96928,1.0096,0.001802,0.001802,0.001802
7,479.948,0.53931,0.77776,1.08805,0.71027,0.94546,0.81713,0.75848,0.42725,16.4837,1.03923,0.0017624,0.0017624,0.0017624
8,536.807,0.54084,0.72598,1.0926,0.71204,0.93674,0.85574,0.79375,0.45175,8.95371,1.06386,0.0017228,0.0017228,0.0017228
9,592.385,0.50912,0.68921,1.06322,0.71366,0.94539,0.81966,0.76801,0.41082,12.174,0.98741,0.0016832,0.0016832,0.0016832
10,647.536,0.47451,0.68912,1.0401,0.78985,0.8723,0.89057,0.83808,0.40371,9.31463,1.01435,0.0016436,0.0016436,0.0016436
11,701.404,0.4768,0.6748,1.05507,0.75884,0.90212,0.86229,0.795,0.48774,11.2299,1.10424,0.001604,0.001604,0.001604
12,755.289,0.50353,0.70498,1.06612,0.76484,0.91023,0.84606,0.76972,0.46621,7.28168,1.06763,0.0015644,0.0015644,0.0015644
13,814.775,0.47597,0.66283,1.05218,0.77358,0.90955,0.85361,0.80391,0.38969,11.6193,0.93322,0.0015248,0.0015248,0.0015248
14,874.545,0.46689,0.63986,1.04242,0.73011,0.92833,0.82359,0.77741,0.3937,13.2322,0.98311,0.0014852,0.0014852,0.0014852
15,933.716,0.47343,0.65593,1.0426,0.73352,0.93515,0.85232,0.79647,0.39548,12.4738,0.97322,0.0014456,0.0014456,0.0014456
16,989.981,0.4859,0.66831,1.05331,0.76295,0.90444,0.86876,0.81768,0.39957,16.2252,0.97687,0.001406,0.001406,0.001406
