epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.55,0.59738,3.18224,1.16989,0.15372,0.74884,0.17749,0.14783,0.5626,2.06232,1.09588,0.0033308,0.0033308,0.0033308
2,583.678,0.51411,2.39049,1.08881,0.34808,0.69202,0.46053,0.39164,0.61453,1.93128,1.15225,0.00653219,0.00653219,0.00653219
3,865.461,0.54541,2.06768,1.09836,0.3551,0.72006,0.44788,0.38924,0.62276,2.81515,1.16764,0.00960157,0.00960157,0.00960157
4,1146.9,0.53418,1.85046,1.09266,0.45933,0.72521,0.57369,0.49306,0.63641,7.13425,1.18781,0.009406,0.009406,0.009406
5,1426.5,0.48433,1.6798,1.06512,0.4977,0.76944,0.62555,0.58265,0.44619,0.98744,0.99524,0.009208,0.009208,0.009208
6,1710.94,0.46092,1.57669,1.05206,0.53525,0.76517,0.67632,0.62256,0.46475,0.95554,1.02526,0.00901,0.00901,0.00901
7,1991.12,0.43871,1.47858,1.0418,0.64058,0.82169,0.74444,0.69004,0.43224,0.9874,0.97672,0.008812,0.008812,0.008812
8,2275.41,0.42784,1.41089,1.03665,0.6487,0.80862,0.76302,0.7078,0.43126,0.76919,0.9732,0.008614,0.008614,0.008614
9,2557.24,0.41221,1.33944,1.02953,0.67626,0.81024,0.78107,0.72309,0.44248,0.69353,0.98591,0.008416,0.008416,0.008416
10,2839.58,0.40456,1.2829,1.02487,0.74437,0.83425,0.82249,0.76484,0.41079,0.63117,0.94389,0.008218,0.008218,0.008218
11,3119.53,0.39579,1.2298,1.02188,0.79118,0.82961,0.84234,0.78048,0.40477,0.65503,0.9571,0.00802,0.00802,0.00802
12,3402.23,0.39017,1.195,1.01745,0.77742,0.8591,0.86858,0.79931,0.41536,0.62816,0.96151,0.007822,0.007822,0.007822
13,3680.56,0.38365,1.15455,1.01326,0.81063,0.86462,0.86926,0.80521,0.39435,0.66316,0.93976,0.007624,0.007624,0.007624
14,3961.86,0.37431,1.11812,1.00966,0.77372,0.88586,0.88034,0.81403,0.39507,0.54806,0.94072,0.007426,0.007426,0.007426
15,4242.52,0.37008,1.0999,1.00762,0.82913,0.87737,0.89517,0.83088,0.36751,0.55055,0.92412,0.007228,0.007228,0.007228
16,4522.87,0.36617,1.06979,1.00645,0.80797,0.88168,0.89745,0.83173,0.3706,0.55463,0.92108,0.00703,0.00703,0.00703
17,4803.28,0.36129,1.04277,1.00343,0.87436,0.88446,0.91691,0.84887,0.37475,0.5062,0.91999,0.006832,0.006832,0.006832
18,5087.72,0.35709,1.02378,1.00048,0.86113,0.8967,0.92161,0.85499,0.36855,0.50887,0.91953,0.006634,0.006634,0.006634
19,5368.53,0.35419,0.98737,0.99971,0.89511,0.89685,0.92926,0.85929,0.35961,0.43996,0.90896,0.006436,0.006436,0.006436
20,5650.5,0.34859,0.97544,0.99725,0.89941,0.8907,0.93623,0.86733,0.35405,0.40217,0.90378,0.006238,0.006238,0.006238
21,5933.84,0.34805,0.95726,0.99577,0.91296,0.9097,0.94533,0.87543,0.35724,0.38714,0.90687,0.00604,0.00604,0.00604
22,6217.46,0.34201,0.94489,0.99461,0.89914,0.92277,0.94653,0.87695,0.3586,0.40694,0.90581,0.005842,0.005842,0.005842
23,6500.28,0.33885,0.91316,0.99284,0.91839,0.90719,0.95336,0.87846,0.3715,0.37725,0.91987,0.005644,0.005644,0.005644
24,6784.25,0.33457,0.89169,0.99025,0.91958,0.92171,0.95526,0.88619,0.34481,0.34034,0.8998,0.005446,0.005446,0.005446
25,7062.51,0.33175,0.88063,0.98899,0.94014,0.92036,0.96141,0.89248,0.33684,0.37912,0.89051,0.005248,0.005248,0.005248
26,7346.95,0.3316,0.86794,0.99008,0.9296,0.93572,0.96196,0.89243,0.34072,0.36379,0.88921,0.00505,0.00505,0.00505
27,7625.74,0.3275,0.84672,0.98757,0.93851,0.93204,0.96589,0.89594,0.34246,0.34552,0.88979,0.004852,0.004852,0.004852
28,7910.77,0.32269,0.83755,0.98616,0.93795,0.931,0.96696,0.89796,0.33591,0.31528,0.88404,0.004654,0.004654,0.004654
29,8189.61,0.31904,0.82012,0.983,0.94478,0.93728,0.97111,0.9016,0.33328,0.32192,0.88244,0.004456,0.004456,0.004456
30,8472.96,0.31509,0.80172,0.97995,0.95632,0.93511,0.97413,0.90623,0.33162,0.31909,0.88093,0.004258,0.004258,0.004258
31,8752.61,0.31517,0.79187,0.98018,0.95003,0.94364,0.97545,0.90531,0.33908,0.32079,0.88564,0.00406,0.00406,0.00406
32,9037.45,0.30978,0.78306,0.97917,0.95353,0.94445,0.97685,0.90645,0.34192,0.31884,0.8875,0.003862,0.003862,0.003862
33,9317.39,0.30879,0.7745,0.9777,0.95456,0.95042,0.97831,0.90954,0.33292,0.30469,0.87892,0.003664,0.003664,0.003664
34,9601.32,0.30825,0.76302,0.97826,0.96652,0.94892,0.98096,0.9133,0.32622,0.29686,0.87439,0.003466,0.003466,0.003466
35,9881.19,0.30462,0.7469,0.97571,0.96627,0.95483,0.98256,0.91494,0.32789,0.29092,0.87643,0.003268,0.003268,0.003268
36,10165.2,0.29896,0.72944,0.97329,0.97064,0.95549,0.98433,0.91753,0.32326,0.28704,0.87424,0.00307,0.00307,0.00307
37,10444.3,0.29661,0.7175,0.97359,0.97219,0.95721,0.98464,0.91863,0.321,0.29155,0.87308,0.002872,0.002872,0.002872
38,10727.2,0.29851,0.71239,0.97342,0.97744,0.95487,0.98529,0.92015,0.31788,0.28522,0.87004,0.002674,0.002674,0.002674
39,11006.5,0.29204,0.6976,0.96993,0.9782,0.95567,0.98575,0.92092,0.31598,0.28596,0.86714,0.002476,0.002476,0.002476
40,11290.5,0.28882,0.69484,0.96824,0.97693,0.95731,0.98657,0.9224,0.31432,0.28632,0.8658,0.002278,0.002278,0.002278
41,11577.8,0.23156,0.3344,0.97827,0.97381,0.96333,0.98701,0.92231,0.31554,0.28365,0.86567,0.00208,0.00208,0.00208
42,11859.2,0.22079,0.30936,0.971,0.97688,0.96365,0.98799,0.92278,0.31569,0.27299,0.86405,0.001882,0.001882,0.001882
43,12137.2,0.21452,0.29288,0.96512,0.9798,0.96275,0.98855,0.92367,0.31286,0.26746,0.86072,0.001684,0.001684,0.001684
44,12417.3,0.20838,0.27332,0.9622,0.98082,0.96309,0.98919,0.92482,0.30927,0.26137,0.85652,0.001486,0.001486,0.001486
45,12695.5,0.20133,0.26397,0.95671,0.98504,0.96236,0.98983,0.92566,0.30725,0.26101,0.85387,0.001288,0.001288,0.001288
46,12976.7,0.20025,0.25351,0.956,0.98438,0.96601,0.99012,0.9268,0.30533,0.25984,0.85183,0.00109,0.00109,0.00109
47,13255.2,0.19304,0.24099,0.9522,0.98458,0.96604,0.99039,0.92732,0.3041,0.25772,0.85029,0.000892,0.000892,0.000892
48,13536.7,0.19136,0.22913,0.95057,0.98459,0.96562,0.9906,0.92835,0.3019,0.25841,0.84814,0.000694,0.000694,0.000694
49,13814.2,0.18488,0.21651,0.94619,0.98499,0.96485,0.99073,0.92867,0.30009,0.25719,0.84632,0.000496,0.000496,0.000496
50,14096,0.18398,0.20823,0.94655,0.9864,0.96464,0.99093,0.92931,0.29826,0.25357,0.84475,0.000298,0.000298,0.000298
