epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.922,0.60083,3.20732,1.17182,0.20612,0.55052,0.10277,0.08653,0.4912,2.51663,1.04593,0.0033308,0.0033308,0.0033308
2,617.261,0.51694,2.40408,1.09035,0.1893,0.57981,0.2708,0.23472,0.54216,2.75883,1.09396,0.00653219,0.00653219,0.00653219
3,922.416,0.54474,2.07251,1.097,0.35756,0.56546,0.36695,0.33044,0.48193,1.89987,1.03498,0.00960157,0.00960157,0.00960157
4,1223.68,0.53662,1.85117,1.09336,0.39118,0.65518,0.4673,0.43245,0.45698,1.61548,1.01763,0.009406,0.009406,0.009406
5,1525.95,0.48791,1.66611,1.06647,0.52736,0.75782,0.66545,0.62119,0.41141,1.03952,0.97251,0.009208,0.009208,0.009208
6,1828.28,0.46178,1.5502,1.05214,0.63731,0.72238,0.73581,0.70536,0.38201,1.16631,0.94409,0.00901,0.00901,0.00901
7,2121.81,0.44236,1.44696,1.04374,0.71359,0.81392,0.83484,0.78445,0.41641,0.7937,0.9874,0.008812,0.008812,0.008812
8,2423.56,0.43022,1.37247,1.03791,0.7075,0.82644,0.84151,0.79929,0.39713,0.73938,0.94982,0.008614,0.008614,0.008614
9,2715.69,0.4113,1.30517,1.02855,0.84225,0.81452,0.87961,0.84178,0.35399,0.60369,0.91919,0.008416,0.008416,0.008416
10,3007.78,0.40582,1.2564,1.0251,0.82336,0.86689,0.90107,0.856,0.37821,0.61665,0.93683,0.008218,0.008218,0.008218
11,3308.99,0.39777,1.20777,1.02348,0.84618,0.86761,0.90959,0.87327,0.33235,0.55481,0.90322,0.00802,0.00802,0.00802
12,3613.42,0.39085,1.18014,1.01849,0.87158,0.89996,0.92631,0.87809,0.36974,0.48817,0.93547,0.007822,0.007822,0.007822
13,3916.13,0.38545,1.13811,1.01442,0.8587,0.90891,0.92724,0.88863,0.33171,0.44843,0.90194,0.007624,0.007624,0.007624
14,4217.36,0.3759,1.10461,1.0101,0.88039,0.90965,0.93602,0.89681,0.31851,0.43851,0.89511,0.007426,0.007426,0.007426
15,4520.3,0.36679,1.08858,1.00597,0.88097,0.92432,0.94236,0.90504,0.29547,0.39775,0.88033,0.007228,0.007228,0.007228
16,4814.01,0.36332,1.05302,1.00588,0.89153,0.91665,0.94517,0.90498,0.31752,0.45044,0.88961,0.00703,0.00703,0.00703
17,5116.9,0.36143,1.0298,1.00417,0.90765,0.92902,0.95135,0.91188,0.30781,0.39231,0.88392,0.006832,0.006832,0.006832
18,5409.67,0.35777,1.00162,1.00145,0.9111,0.9373,0.95684,0.91956,0.28842,0.35821,0.86697,0.006634,0.006634,0.006634
19,5701.96,0.35293,0.96864,0.99885,0.92442,0.94131,0.9611,0.92102,0.29579,0.33571,0.87468,0.006436,0.006436,0.006436
20,6010.31,0.34847,0.96401,0.99686,0.91954,0.94062,0.95976,0.9205,0.29423,0.34818,0.87035,0.006238,0.006238,0.006238
21,6310.07,0.34665,0.94198,0.99539,0.9228,0.94769,0.96301,0.92416,0.29056,0.35198,0.86384,0.00604,0.00604,0.00604
22,6608.31,0.34117,0.92805,0.99371,0.92691,0.94841,0.96635,0.92735,0.2906,0.33458,0.86362,0.005842,0.005842,0.005842
23,6897.29,0.3381,0.90755,0.99195,0.93602,0.94885,0.96717,0.9282,0.28198,0.31051,0.85976,0.005644,0.005644,0.005644
24,7199.87,0.33474,0.89142,0.99087,0.93799,0.95218,0.96849,0.93081,0.28108,0.28739,0.85821,0.005446,0.005446,0.005446
25,7494.28,0.33035,0.87408,0.98853,0.94453,0.956,0.97157,0.93322,0.27861,0.30755,0.86021,0.005248,0.005248,0.005248
26,7795.61,0.32966,0.86258,0.9891,0.95141,0.95539,0.97299,0.93552,0.27347,0.27835,0.85392,0.00505,0.00505,0.00505
27,8087.33,0.32784,0.84689,0.98805,0.94931,0.95871,0.97441,0.93568,0.27596,0.28518,0.85462,0.004852,0.004852,0.004852
