epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.775,0.90699,3.69959,1.34277,0.29907,0.38197,0.12743,0.11123,0.58056,2.79548,1.06591,6.78283e-05,6.78283e-05,6.78283e-05
2,326.355,0.79403,2.73287,1.21503,0.22727,0.45889,0.25658,0.20711,0.82218,2.14997,1.21207,0.000134484,0.000134484,0.000134484
3,487.177,0.77623,2.40588,1.18545,0.34349,0.52061,0.34173,0.28408,0.70672,1.87732,1.16726,0.000199792,0.000199792,0.000199792
4,646.699,0.76362,2.23283,1.18879,0.44916,0.57785,0.46732,0.41145,0.53339,1.61858,1.05419,0.000197941,0.000197941,0.000197941
5,806.152,0.73774,2.08725,1.17328,0.32431,0.70247,0.46534,0.4092,0.56133,1.63181,1.02904,0.000195922,0.000195922,0.000195922
6,965.865,0.71808,1.95595,1.1591,0.44079,0.70129,0.56053,0.49058,0.56555,1.35429,1.03948,0.000193902,0.000193902,0.000193902
7,1126.14,0.70853,1.83656,1.13999,0.45874,0.72611,0.61006,0.52446,0.60439,1.25849,1.0451,0.000191882,0.000191882,0.000191882
8,1285.65,0.68599,1.71748,1.13353,0.45287,0.77789,0.62832,0.55461,0.54033,1.12864,1.01205,0.000189863,0.000189863,0.000189863
9,1444.53,0.6701,1.63782,1.1257,0.53765,0.74638,0.66073,0.57007,0.60285,1.10066,1.08026,0.000187843,0.000187843,0.000187843
10,1603.98,0.65933,1.61276,1.11617,0.47438,0.77793,0.66157,0.60518,0.43605,1.14286,0.96092,0.000185824,0.000185824,0.000185824
11,1764.31,0.65238,1.54407,1.1105,0.55251,0.83249,0.7331,0.64786,0.5397,0.96169,1.02785,0.000183804,0.000183804,0.000183804
12,1923.7,0.65043,1.47995,1.11078,0.5919,0.81873,0.75753,0.68016,0.48586,0.93088,0.9916,0.000181784,0.000181784,0.000181784
13,2083.35,0.64095,1.42455,1.108,0.63098,0.8153,0.78301,0.68374,0.57934,0.90888,1.05253,0.000179765,0.000179765,0.000179765
14,2242.79,0.64421,1.38163,1.10703,0.65268,0.82412,0.81837,0.73737,0.48484,0.8004,0.98149,0.000177745,0.000177745,0.000177745
15,2401.54,0.6378,1.3562,1.10024,0.67269,0.84035,0.81415,0.73556,0.44994,0.78782,0.96994,0.000175726,0.000175726,0.000175726
