epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8215,0.51383,1.03203,1.0826,0.71353,0.86081,0.88044,0.69144,0.63484,1.88389,1.28269,0.000659091,0.000659091,0.000659091
2,57.1095,0.63892,0.66709,1.12894,0.53474,0.67399,0.62963,0.33204,1.38294,1.62108,1.90966,0.00129951,0.00129951,0.00129951
3,83.5797,0.6752,0.64633,1.15402,0.79025,0.84982,0.8873,0.63936,0.75221,1.75133,1.37968,0.00191352,0.00191352,0.00191352
4,111.646,0.67745,0.60454,1.16243,0.88388,0.87912,0.95506,0.75183,0.75901,0.97882,1.35372,0.0018812,0.0018812,0.0018812
5,138.153,0.64672,0.57603,1.14966,0.91104,0.86279,0.939,0.74347,0.7994,1.07403,1.37524,0.0018416,0.0018416,0.0018416
6,164.64,0.59413,0.52426,1.10574,0.86291,0.90842,0.96038,0.79697,0.62668,0.59463,1.20902,0.001802,0.001802,0.001802
7,191.031,0.60142,0.51077,1.12382,0.9567,0.98168,0.99186,0.8731,0.47301,0.44111,1.06923,0.0017624,0.0017624,0.0017624
8,217.427,0.53922,0.45104,1.07726,0.94926,0.93773,0.97741,0.88881,0.44256,0.49995,1.04579,0.0017228,0.0017228,0.0017228
9,243.839,0.54835,0.47261,1.08087,0.98503,0.96411,0.99278,0.9211,0.41825,0.36593,1.01681,0.0016832,0.0016832,0.0016832
10,270.169,0.50318,0.42776,1.04918,0.96629,0.945,0.99016,0.91926,0.40799,0.40556,0.99959,0.0016436,0.0016436,0.0016436
11,296.751,0.48654,0.3989,1.03613,0.98109,0.9707,0.9926,0.91749,0.42032,0.39708,1.0268,0.001604,0.001604,0.001604
12,323.275,0.46163,0.38252,1.03841,0.99087,0.9707,0.99367,0.91992,0.36343,0.35002,0.97027,0.0015644,0.0015644,0.0015644
13,349.706,0.43948,0.38411,1.02262,0.98844,0.97436,0.99281,0.93368,0.38851,0.33789,0.99856,0.0015248,0.0015248,0.0015248
14,376.244,0.4484,0.37402,1.03128,0.98892,0.98089,0.99377,0.94475,0.3676,0.30749,0.99919,0.0014852,0.0014852,0.0014852
15,402.902,0.46102,0.37787,1.03233,0.98689,0.97436,0.99279,0.94707,0.3575,0.3058,0.94728,0.0014456,0.0014456,0.0014456
16,429.282,0.43894,0.35462,1.02954,0.99527,0.98901,0.99461,0.94009,0.35708,0.27777,0.99125,0.001406,0.001406,0.001406
17,455.591,0.43767,0.37093,1.02185,0.99508,0.97802,0.99456,0.94567,0.34876,0.2743,0.96329,0.0013664,0.0013664,0.0013664
18,481.947,0.40814,0.34321,0.99273,0.98367,0.99267,0.99467,0.9575,0.30699,0.28368,0.91657,0.0013268,0.0013268,0.0013268
19,508.39,0.41445,0.33801,1.00012,0.98995,0.97802,0.99408,0.95525,0.31043,0.25807,0.92861,0.0012872,0.0012872,0.0012872
20,534.735,0.39803,0.32996,1.00569,0.98901,0.98852,0.99448,0.96269,0.29954,0.25009,0.93722,0.0012476,0.0012476,0.0012476
21,561.119,0.39569,0.32917,0.99048,0.98536,0.98633,0.99442,0.96221,0.32164,0.26129,0.93666,0.001208,0.001208,0.001208
22,587.381,0.38713,0.30934,0.9885,0.99208,0.98535,0.99446,0.95476,0.30412,0.24327,0.96077,0.0011684,0.0011684,0.0011684
23,613.801,0.36699,0.3018,0.98292,0.99519,0.99267,0.99493,0.96279,0.29486,0.24222,0.9296,0.0011288,0.0011288,0.0011288
24,640.24,0.37363,0.31323,0.99114,0.98428,0.98168,0.99432,0.96962,0.28536,0.23256,0.92498,0.0010892,0.0010892,0.0010892
25,666.592,0.37425,0.29734,0.98831,0.99629,0.98485,0.99478,0.97068,0.26922,0.22469,0.89237,0.0010496,0.0010496,0.0010496
26,692.93,0.36057,0.28943,0.96654,0.99878,0.99634,0.995,0.97536,0.25588,0.20328,0.90397,0.00101,0.00101,0.00101
27,719.374,0.34329,0.27751,0.95989,0.99558,0.98901,0.99471,0.97245,0.27848,0.21352,0.8945,0.0009704,0.0009704,0.0009704
28,745.767,0.34698,0.28047,0.97046,0.99632,0.99055,0.99496,0.97296,0.27908,0.21319,0.90834,0.0009308,0.0009308,0.0009308
29,772.099,0.33006,0.28159,0.96121,0.99631,0.98898,0.99482,0.97085,0.27548,0.21112,0.91255,0.0008912,0.0008912,0.0008912
30,798.417,0.33342,0.27668,0.96607,0.98465,0.99267,0.99471,0.97123,0.26261,0.21468,0.90042,0.0008516,0.0008516,0.0008516
31,824.633,0.34055,0.27417,0.96893,0.99465,0.99634,0.99496,0.98431,0.23305,0.20751,0.8744,0.000812,0.000812,0.000812
32,851.313,0.31824,0.25716,0.95069,0.99927,0.99267,0.995,0.97865,0.2526,0.19981,0.90052,0.0007724,0.0007724,0.0007724
33,877.73,0.31712,0.40477,0.94407,0.99618,0.99267,0.99496,0.98098,0.24687,0.18677,0.90051,0.0007328,0.0007328,0.0007328
34,904.108,0.33536,0.26897,0.97286,0.99547,0.99634,0.99496,0.97766,0.24125,0.18275,0.89672,0.0006932,0.0006932,0.0006932
35,930.342,0.29988,0.24498,0.94649,0.99325,0.99267,0.99496,0.98382,0.21971,0.1821,0.86235,0.0006536,0.0006536,0.0006536
36,956.78,0.29927,0.24537,0.94345,0.99572,0.99634,0.99496,0.98247,0.22181,0.16956,0.8821,0.000614,0.000614,0.000614
37,983.309,0.30371,0.24633,0.94868,0.99962,0.99267,0.995,0.98356,0.21652,0.17218,0.8763,0.0005744,0.0005744,0.0005744
38,1009.9,0.29186,0.24019,0.94772,0.9991,0.99634,0.995,0.98406,0.21265,0.17156,0.87057,0.0005348,0.0005348,0.0005348
39,1036.38,0.26254,0.22807,0.928,0.99248,0.99267,0.99493,0.98676,0.19338,0.15955,0.85033,0.0004952,0.0004952,0.0004952
40,1062.71,0.28967,0.2325,0.94789,0.99267,0.99169,0.99493,0.98304,0.21385,0.1738,0.87238,0.0004556,0.0004556,0.0004556
