epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1503,0.50012,3.51109,1.05372,0.00645,1,0.11871,0.10867,0.18385,4.11338,0.88165,8.33e-06,8.33e-06,8.33e-06
2,37.4844,0.60971,3.45437,1.14103,0.0073,1,0.13377,0.12444,0.18082,4.11384,0.87237,2.44952e-05,2.44952e-05,2.44952e-05
3,53.2181,0.63931,3.51142,1.17338,0.00789,1,0.14198,0.13356,0.18161,4.11133,0.87202,4.00007e-05,4.00007e-05,4.00007e-05
4,65.177,0.52087,3.46142,1.12239,0.00879,1,0.15855,0.14813,0.19294,4.11875,0.89598,5.48464e-05,5.48464e-05,5.48464e-05
5,77.0185,0.53803,3.33867,1.15655,0.00958,1,0.18288,0.17176,0.20893,4.1253,0.89522,6.90324e-05,6.90324e-05,6.90324e-05
6,85.7244,0.55269,3.24407,1.17271,0.01106,1,0.21256,0.18599,0.21917,4.13363,0.89015,8.25586e-05,8.25586e-05,8.25586e-05
7,94.6013,0.4188,3.14888,1.05786,0.01426,1,0.24563,0.2169,0.22323,4.11777,0.90299,9.54251e-05,9.54251e-05,9.54251e-05
8,103.269,0.508,3.08618,1.06283,0.01453,1,0.25205,0.23499,0.23243,4.0829,0.87711,0.000107632,0.000107632,0.000107632
9,111.947,0.58651,2.96733,1.13098,0.01532,1,0.27914,0.26067,0.22732,4.05393,0.87717,0.000119179,0.000119179,0.000119179
10,120.612,0.46154,2.9732,1.03365,0.01465,1,0.31887,0.29785,0.23026,4.02825,0.86218,0.000130066,0.000130066,0.000130066
11,129.329,0.46681,2.82797,1.06971,0.01446,1,0.33877,0.31791,0.23664,4.01782,0.87462,0.000140294,0.000140294,0.000140294
12,137.912,0.3683,2.65858,0.99718,0.01427,1,0.34702,0.32294,0.24469,4.00463,0.882,0.000149862,0.000149862,0.000149862
13,146.531,0.38257,2.73338,0.99054,0.01442,1,0.31386,0.2906,0.25692,3.99725,0.89494,0.00015877,0.00015877,0.00015877
14,155.11,0.42887,2.6433,1.04483,0.0143,1,0.30675,0.28343,0.2603,3.9933,0.88663,0.000167018,0.000167018,0.000167018
15,163.733,0.38793,2.49114,0.9838,0.01454,1,0.36327,0.34529,0.25437,3.99888,0.88719,0.000174607,0.000174607,0.000174607
16,172.337,0.46533,2.54957,1.07274,0.01385,1,0.37938,0.36352,0.25156,4.00497,0.88832,0.000181536,0.000181536,0.000181536
17,180.877,0.39967,2.3571,1.00404,0.01341,1,0.37275,0.3544,0.245,4.00686,0.88577,0.000187805,0.000187805,0.000187805
18,189.328,0.45196,2.36403,1.06005,0.01217,1,0.40915,0.39808,0.25527,3.97454,0.88914,0.000193414,0.000193414,0.000193414
19,197.826,0.43543,2.33828,1.0261,0.01097,1,0.35489,0.33438,0.26233,3.91814,0.88794,0.000198364,0.000198364,0.000198364
