epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2575,0.56419,2.42455,1.13869,0.00333,1,0.48001,0.3114,0.28395,3.07564,0.89749,4e-05,4e-05,4e-05
2,24.9037,0.63253,2.24198,1.16499,0.00333,1,0.984,0.81375,0.28996,3.05916,0.88805,9.835e-05,9.835e-05,9.835e-05
3,36.0959,0.54512,1.84379,1.11218,0.00333,1,0.995,0.85983,0.29997,2.96906,0.84784,0.00015472,0.00015472,0.00015472
4,46.8115,0.54975,1.25679,1.0837,0.00333,1,0.995,0.90054,0.3474,2.83546,0.85067,0.00020911,0.00020911,0.00020911
5,57.2487,0.66053,1.27359,1.22175,0.00333,1,0.995,0.8397,0.57249,2.99891,1.04013,0.00026152,0.00026152,0.00026152
6,67.7106,0.54893,0.94585,0.99543,0.00333,1,0.92488,0.74235,0.66091,3.06022,1.16299,0.00031195,0.00031195,0.00031195
7,78.0823,0.46412,0.9235,0.9553,0.00333,1,0.995,0.82629,0.52985,3.02692,1.03253,0.0003604,0.0003604,0.0003604
8,88.5228,0.63075,0.90009,1.15871,1,0.50886,0.995,0.83437,0.54982,2.92354,1.03455,0.00040687,0.00040687,0.00040687
9,98.944,0.77337,1.11813,1.33295,1,0.83968,0.984,0.88073,0.47094,2.59668,0.98155,0.00045136,0.00045136,0.00045136
10,109.319,0.55204,0.92385,1.05168,1,0.83259,0.995,0.928,0.44733,2.53596,0.9629,0.00049387,0.00049387,0.00049387
11,119.787,0.55029,0.88949,1.03059,0.96225,0.77778,0.95528,0.8584,0.49342,2.57428,1.04371,0.0005344,0.0005344,0.0005344
12,130.166,0.48095,1.07494,1.01197,1,0.84443,0.995,0.84809,0.54415,2.47678,1.05237,0.00057295,0.00057295,0.00057295
13,140.678,0.61987,0.96317,1.14187,0.88119,0.8273,0.973,0.79571,0.63491,2.51825,1.14782,0.00060952,0.00060952,0.00060952
14,151.072,0.52368,0.85862,1.02268,1,0.93615,0.995,0.84969,0.59671,2.63006,1.15097,0.00064411,0.00064411,0.00064411
15,161.488,0.51146,0.87954,1.00447,1,0.86964,0.975,0.84484,0.67039,2.24865,1.17945,0.00067672,0.00067672,0.00067672
16,171.894,0.64255,0.98292,1.16527,1,0.8765,0.9675,0.77388,0.72198,2.03643,1.1993,0.00070735,0.00070735,0.00070735
17,182.444,0.61945,0.86751,1.16404,0.92944,0.88889,0.975,0.8046,0.73576,2.46436,1.29071,0.000736,0.000736,0.000736
18,192.895,0.59645,0.91148,1.08619,0.98386,0.77778,0.93915,0.6984,0.63602,2.61701,1.13728,0.00076267,0.00076267,0.00076267
19,203.226,0.53112,0.84065,1.04272,0.80933,0.77778,0.885,0.65427,0.68552,2.5791,1.1544,0.00078736,0.00078736,0.00078736
20,213.685,0.51763,0.89275,1.09107,0.98444,1,0.995,0.75677,0.72285,2.12294,1.24892,0.00081007,0.00081007,0.00081007
21,224.031,0.49295,0.78593,0.97825,1,0.99765,0.995,0.79624,0.71132,1.85561,1.20745,0.0008308,0.0008308,0.0008308
22,234.404,0.73088,0.92749,1.22054,0.98531,1,0.995,0.81276,0.63242,1.86485,1.1558,0.00084955,0.00084955,0.00084955
23,244.837,0.52683,0.84383,1.07231,0.98044,1,0.995,0.83421,0.57392,1.95423,1.11422,0.00086632,0.00086632,0.00086632
